name,Dl,Du,d
adhya1.p1,0,10,16
adhya1.p2,0,25,25
adhya1.p3,0,30,15
adhya1.p4,0,10,10
adhya2.p1,0,10,16
adhya2.p2,0,25,25
adhya2.p3,0,30,15
adhya2.p4,0,10,10
adhya3.p1,0,10,16
adhya3.p2,0,25,25
adhya3.p3,0,30,15
adhya3.p4,0,10,10
adhya4.p1,0,15,10
adhya4.p2,0,25,25
adhya4.p3,0,10,30
adhya4.p4,0,20,6
adhya4.p5,0,15,10
rt2.p1,5,300,190
rt2.p2,5,300,230
rt2.p3,5,300,150
bental4.p1,0,100,9
bental4.p2,0,200,15
bental5.p1,0,100,18
bental5.p2,0,200,15
bental5.p3,0,100,19
bental5.p4,0,100,16
bental5.p5,0,100,14
haverly1.p1,0,100,9
haverly1.p2,0,200,15
haverly2.p1,0,600,9
haverly2.p2,0,200,15
haverly3.p1,0,100,9
haverly3.p2,0,200,15
foulds2.p1,0,100,9
foulds2.p2,0,200,15
foulds2.p3,0,100,6
foulds2.p4,0,200,12
foulds3.p1,0,1,20
foulds3.p2,0,1,19.5
foulds3.p3,0,1,19
foulds3.p4,0,1,18.5
foulds3.p5,0,1,18
foulds3.p6,0,1,17.5
foulds3.p7,0,1,17
foulds3.p8,0,1,16.5
foulds3.p9,0,1,16
foulds3.p10,0,1,15.5
foulds3.p11,0,1,15
foulds3.p12,0,1,14.5
foulds3.p13,0,1,14
foulds3.p14,0,1,13.5
foulds3.p15,0,1,13
foulds3.p16,0,1,12.5
foulds4.p1,0,1,20
foulds4.p2,0,1,19.5
foulds4.p3,0,1,19
foulds4.p4,0,1,18.5
foulds4.p5,0,1,18
foulds4.p6,0,1,17.5
foulds4.p7,0,1,17
foulds4.p8,0,1,16.5
foulds4.p9,0,1,16
foulds4.p10,0,1,15.5
foulds4.p11,0,1,15
foulds4.p12,0,1,14.5
foulds4.p13,0,1,14
foulds4.p14,0,1,13.5
foulds4.p15,0,1,13
foulds4.p16,0,1,12.5
foulds5.p1,0,1,20
foulds5.p2,0,1,19.5
foulds5.p3,0,1,19
foulds5.p4,0,1,18.5
foulds5.p5,0,1,18
foulds5.p6,0,1,17.5
foulds5.p7,0,1,17
foulds5.p8,0,1,16.5
foulds5.p9,0,1,16
foulds5.p10,0,1,15.5
foulds5.p11,0,1,15
foulds5.p12,0,1,14.5
foulds5.p13,0,1,14
foulds5.p14,0,1,13.5
foulds5.p15,0,1,13
foulds5.p16,0,1,12.5
