name,Al,Au,c
adhya1.c1,0,75,7
adhya1.c2,0,75,3
adhya1.c3,0,75,2
adhya1.c4,0,75,10
adhya1.c5,0,75,5
adhya2.c1,0,75,7
adhya2.c2,0,75,3
adhya2.c3,0,75,2
adhya2.c4,0,75,10
adhya2.c5,0,75,5
adhya3.c1,0,75,7
adhya3.c2,0,75,3
adhya3.c3,0,75,2
adhya3.c4,0,75,10
adhya3.c5,0,75,5
adhya3.c6,0,75,5
adhya3.c7,0,75,9
adhya3.c8,0,75,11
adhya4.c1,0,85,15
adhya4.c2,0,85,7
adhya4.c3,0,85,4
adhya4.c4,0,85,5
adhya4.c5,0,85,6
adhya4.c6,0,85,3
adhya4.c7,0,85,5
adhya4.c8,0,85,5
rt2.c1,0,60.9756,49.2
rt2.c2,0,161.29,62
rt2.c3,0,5,300
bental4.c1,0,300,6
bental4.c2,0,50,15
bental4.c3,0,300,16
bental4.c4,0,300,10
bental5.c1,0,600,6
bental5.c2,0,600,16
bental5.c3,0,600,15
bental5.c4,0,600,12
bental5.c5,0,600,6
bental5.c6,0,600,16
bental5.c7,0,600,15
bental5.c8,0,600,12
bental5.c9,0,600,6
bental5.c10,0,600,16
bental5.c11,0,600,15
bental5.c12,0,600,12
bental5.c13,0,600,10
haverly1.c1,0,300,6
haverly1.c2,0,300,16
haverly1.c3,0,300,10
haverly2.c1,0,800,6
haverly2.c2,0,800,16
haverly2.c3,0,800,10
haverly3.c1,0,300,6
haverly3.c2,0,300,13
haverly3.c3,0,300,10
foulds2.c1,0,600,6
foulds2.c2,0,600,16
foulds2.c3,0,600,10
foulds2.c4,0,600,3
foulds2.c5,0,600,13
foulds2.c6,0,600,7
foulds3.c1,0,16,20
foulds3.c2,0,16,19
foulds3.c3,0,16,18
foulds3.c4,0,16,17
foulds3.c5,0,16,19
foulds3.c6,0,16,18
foulds3.c7,0,16,17
foulds3.c8,0,16,16
foulds3.c9,0,16,18
foulds3.c10,0,16,17
foulds3.c11,0,16,16
foulds3.c12,0,16,15
foulds3.c13,0,16,17
foulds3.c14,0,16,16
foulds3.c15,0,16,15
foulds3.c16,0,16,14
foulds3.c17,0,16,16
foulds3.c18,0,16,15
foulds3.c19,0,16,14
foulds3.c20,0,16,13
foulds3.c21,0,16,15
foulds3.c22,0,16,14
foulds3.c23,0,16,13
foulds3.c24,0,16,12
foulds3.c25,0,16,14
foulds3.c26,0,16,13
foulds3.c27,0,16,12
foulds3.c28,0,16,11
foulds3.c29,0,16,13
foulds3.c30,0,16,12
foulds3.c31,0,16,11
foulds3.c32,0,16,10
foulds4.c1,0,16,20
foulds4.c2,0,16,19
foulds4.c3,0,16,18
foulds4.c4,0,16,17
foulds4.c5,0,16,16
foulds4.c6,0,16,15
foulds4.c7,0,16,14
foulds4.c8,0,16,13
foulds4.c9,0,16,12
foulds4.c10,0,16,11
foulds4.c11,0,16,10
foulds5.c1,0,16,20
foulds5.c2,0,16,19
foulds5.c3,0,16,18
foulds5.c4,0,16,17
foulds5.c5,0,16,16
foulds5.c6,0,16,15
foulds5.c7,0,16,14
foulds5.c8,0,16,13
foulds5.c9,0,16,12
foulds5.c10,0,16,11
foulds5.c11,0,16,10
